iter	RMSE
0	0.9598725446
1	0.9190498593
2	0.8819390514
3	0.8450964159
4	0.8123936866
5	0.7834369842
6	0.7517269458
7	0.7219901625
8	0.6944047387
9	0.6671164349
10	0.6415183269
11	0.6176278941
12	0.5944900846
13	0.5713307534
14	0.5508618625
15	0.5312603903
16	0.5120217453
17	0.4940407668
18	0.4761754152
19	0.4598084043
20	0.4444948578
21	0.4291908627
22	0.4153043353
23	0.4014283311
24	0.3887074826
25	0.3767840768
26	0.3654834449
27	0.3540703425
28	0.3434752319
29	0.3334545437
30	0.3250250869
31	0.3163629799
32	0.3076630967
33	0.2993982975
34	0.2916568895
35	0.2846015287
36	0.2778501087
37	0.2717142611
38	0.2654297829
39	0.2595785227
40	0.2538753448
41	0.2484550027
42	0.2436843602
43	0.238488907
44	0.2337785421
45	0.2295499142
46	0.2257078472
47	0.2215191066
48	0.2178918648
49	0.2137920198
50	0.2104972873
51	0.2072303277
52	0.2042210995
53	0.2010639923
54	0.1985055301
55	0.1958842432
56	0.1933177798
57	0.1907412423
58	0.1886452568
59	0.1862274716
60	0.184153311
61	0.1821682944
62	0.1802392522
63	0.1784895951
64	0.1766999732
65	0.1748735885
66	0.1733786998
67	0.1719524329
68	0.1703371853
69	0.1690224238
70	0.1675892114
71	0.1664829122
72	0.1648840616
73	0.1635523901
74	0.1623653681
75	0.1609285724
76	0.159814842
77	0.158722279
78	0.1576966155
79	0.1567082885
80	0.1554881783
81	0.1541743121
82	0.152915915
83	0.1517192911
84	0.150781936
85	0.149729707
86	0.1491016786
87	0.1483927178
88	0.1471723846
89	0.1461961821
90	0.1451728264
91	0.1443317339
92	0.1434452133
93	0.1426330515
94	0.1415892718
95	0.1409690246
96	0.1403039545
97	0.1397362429
98	0.1389986622
99	0.1383033691
100	0.1374871272
101	0.1367740751
102	0.1362091659
103	0.1356630764
104	0.1349708127
105	0.1344198759
106	0.1338125073
107	0.1332769875
108	0.1327451856
109	0.1322441079
110	0.131838031
111	0.1314820595
112	0.1308831447
113	0.1303056207
114	0.1296756821
115	0.1293457811
116	0.1288065878
117	0.1282794333
118	0.1279558829
119	0.1274926977
120	0.1269984761
121	0.1267374785
122	0.1261741898
123	0.1257443266
124	0.1254700471
125	0.1251957353
126	0.1248083298
127	0.1244348075
128	0.1240122328
129	0.1233678213
130	0.12274214
131	0.122192825
132	0.1218248826
133	0.1213327356
134	0.1210616668
135	0.1207085821
136	0.120377828
137	0.1201445765
138	0.1197214433
139	0.119352974
140	0.1188646866
141	0.1183003938
142	0.1179342362
143	0.1176158486
144	0.1172207751
145	0.1167349518
146	0.1162822513
147	0.115798831
148	0.115373996
149	0.114824821
150	0.1145562141
151	0.1140965599
152	0.1136778517
153	0.1134837269
154	0.1131948645
155	0.1129678158
156	0.1127841124
157	0.1124941939
158	0.1122892971
159	0.1119922208
160	0.1116457814
161	0.1112743075
162	0.1110498958
163	0.1107088371
164	0.1105805021
165	0.1102856126
166	0.1100138213
167	0.1099015134
168	0.1097793822
169	0.1096525499
170	0.1093585286
171	0.1091111173
172	0.1087577729
173	0.108525352
174	0.1082484893
175	0.1081839643
176	0.1077801956
177	0.1074621298
178	0.1070543804
179	0.1068190931
180	0.1067142689
181	0.1064002446
182	0.1062354825
183	0.1059423538
184	0.1056672095
185	0.1054117217
186	0.1052616771
187	0.1050209843
188	0.104790091
189	0.1046787325
190	0.1045599213
191	0.1042692001
192	0.1038898552
193	0.1037487946
194	0.103411336
195	0.1030556552
196	0.1028941778
197	0.1026416557
198	0.1024305174
199	0.1023440378
200	0.1021069791
201	0.1017932846
202	0.1017020352
203	0.1015770693
204	0.1014037768
205	0.1012111278
206	0.1010507482
207	0.100861535
208	0.1006585893
209	0.1003495841
210	0.1002658935
211	0.100162266
212	0.100048233
213	0.09985752415
214	0.09960884829
215	0.09942890928
216	0.09920491687
217	0.09898390385
218	0.09885963077
219	0.09860560651
220	0.09839584683
221	0.09806731053
222	0.09794361618
223	0.09775727944
224	0.0975629278
225	0.09734713425
226	0.09708773525
227	0.09699687396
228	0.09663660206
229	0.09651826626
230	0.09643513326
231	0.09619854235
232	0.09591412846
233	0.09573414121
234	0.09563339825
235	0.09541052033
236	0.09514175775
237	0.09497347747
238	0.09485073081
239	0.09478869166
240	0.0947089339
241	0.09458987892
242	0.09430395972
243	0.0940975948
244	0.09403760987
245	0.09389737713
246	0.09384484757
247	0.09361522881
248	0.09343615239
249	0.09326883309
250	0.09305928274
251	0.09271017897
252	0.09256614186
253	0.09240256267
254	0.09221556566
255	0.09191434533
256	0.09175451395
257	0.09156446967
258	0.09147285613
259	0.09130400219
260	0.09101961834
261	0.09094962168
262	0.09079585202
263	0.0905994142
264	0.09038003688
265	0.09029891076
266	0.08999302094
267	0.08974360533
268	0.08960851701
269	0.08946122805
270	0.08936656032
271	0.08917811901
272	0.08895015702
273	0.08880434903
274	0.0886073184
275	0.08826527851
276	0.08804576892
277	0.08787227159
278	0.08772865594
279	0.08758077853
280	0.08737780862
281	0.08718174283
282	0.08705414752
283	0.08670466978
284	0.08653956844
285	0.08638403929
286	0.08617864742
287	0.08613911357
288	0.0859630437
289	0.08579226186
290	0.08567135646
291	0.08551931479
292	0.08533260644
293	0.08508539814
294	0.08491348935
295	0.08474883436
296	0.08456200216
297	0.08449435792
298	0.0843161988
299	0.0841542462
300	0.08398988802
301	0.08387222051
302	0.08365302913
303	0.08360790759
304	0.08345578071
305	0.08338466955
306	0.08317397084
307	0.08298213343
308	0.0827671053
309	0.08261366343
310	0.08240817468
311	0.08213621408
312	0.08192776541
313	0.08170725587
314	0.08162680806
315	0.08146821249
316	0.08138771769
317	0.08126136091
318	0.08114454622
319	0.08099078012
320	0.08078559225
321	0.0806656846
322	0.08050088952
323	0.08027314551
324	0.08020256472
325	0.08001041639
326	0.0798925111
327	0.07976430267
328	0.07961171937
329	0.07944798322
330	0.07937263919
331	0.07916665251
332	0.07896452121
333	0.07889373607
334	0.07874980622
335	0.07847156165
336	0.07838773336
337	0.07818278469
338	0.07807494917
339	0.07791550393
340	0.07774935235
341	0.07749706162
342	0.07749112055
343	0.07732916522
344	0.07716254759
345	0.07697347308
346	0.07691794817
347	0.07673831287
348	0.07659530293
349	0.07646042276
350	0.07629394719
351	0.0761547022
352	0.07603661311
353	0.07583214267
354	0.07563623673
355	0.07557695559
356	0.07544341103
357	0.07543814375
358	0.07530361372
359	0.07519728456
360	0.07514122293
361	0.07500741156
362	0.07488970552
363	0.07477872402
364	0.07470636016
365	0.07460927685
366	0.07441390595
367	0.07425191814
368	0.07417562156
369	0.07400280544
370	0.07388391105
371	0.07376468457
372	0.07365254426
373	0.07351862258
374	0.0734059856
375	0.07335720471
376	0.07329152789
377	0.07319731429
378	0.07309331598
379	0.07308845112
380	0.07297566131
381	0.07289672327
382	0.0726759168
383	0.07263786361
384	0.07260500559
385	0.07258467936
386	0.07239971123
387	0.07222930423
388	0.07211946212
389	0.07202855295
390	0.0718982688
391	0.07181102954
392	0.07169642648
393	0.07160136641
394395	0.070545250395396	0.070479025396397	0.070351452397398	0.070236500398399	0.070135297399400	0.07002608415
401	0.06983782184
402	0.06967034003
